Property,Descriptions,中文名称,新描述
activationFeature,Configuration features,激活特征,与产品或服务激活相关的配置特征。
administrativeState,0,管理状态,由管理员设置的资源状态，例如locked（锁定）、unlocked（解锁）、shuttingDown（关闭中）。
levelType,describes level types within a building,楼层类型,建筑物内楼层的类型，例如“楼层”、“地下室”。
privateStreetName,private streets internal to a property (e.g. a university) may have internal names that are not recorded by the land title office.,内部街道名称,物业内部（如大学校园）的私有道路名称。
buildingName,allows for buildings that have well-known names,建筑物名称,建筑物的名称，特别是那些有知名名称的建筑。
levelNumber,"used where a level type may be repeated e.g. BASEMENT 1, BASEMENT 2",楼层编号,楼层的编号，用于区分同一类型的多个楼层，例如“地下1层”、“地下2层”。
privateStreetNumber,private streets numbers internal to a private street,内部街道门牌号,内部私有道路上的门牌号码。
subUnit,"Representation of a SubUnit. It is used for describing subunit within a subAddress e.g. BERTH, FLAT, PIER, SUITE, SHOP, TOWER, UNIT, WHARF.",子单元,地址中子单元的表示，例如“公寓”、“套房”、“商铺”、“单元”等。
subUnitType,"The type of subunit e.g.BERTH, FLAT, PIER, SUITE, SHOP, TOWER, UNIT, WHARF, RACK",子单元类型,子单元的类型，例如“公寓”、“套房”、“商铺”等。
subAddressType,Type of subAddress : it can be a subunit or a private street,子地址类型,子地址的类型，可以是“子单元”或“内部街道”。
subUnitNumber,"The discriminator used for the subunit, often just a simple number but may also be a range.",子单元编号,子单元的编号或标识，可能是一个数字或一个范围。
realizingService,Collection of realizing services,实现服务,为客户实现（交付）某个产品所依赖的服务列表。
productSerialNumber,Is the serial number for the product. This is typically applicable to tangible products e.g. Broadband Router.,产品序列号,有形产品实例的唯一序列号，例如宽带路由器的SN码。
productTerm,Collection of product terms,产品条款,与产品相关的条款和条件列表。
productCharacteristic,Collection of product characteristics,产品特征,描述一个产品实例具体特性的“名称-值”对列表。
productPrice,Collection of product prices,产品价格,一个产品实例的价格信息列表，包括一次性、周期性费用等。
isCustomerVisible,"If true, the product is visible by the customer.",客户是否可见,一个布尔值，表明该产品是否应对客户可见。
realizingResource,Collection of realizing resources,实现资源,为交付某个服务所依赖的底层资源列表。
geographicSite,0,地理站点,与实体相关的地理站点信息，例如建筑物、数据中心。
completionDate,Data at which the job was completed,完成日期,任务或作业完成的日期和时间。
serviceSpecification,ServiceSpecification(s) required to realize a ProductSpecification.,服务规约,实现一个产品规格（ProductSpecification）所依赖的服务规约。
