Schema,Descriptions,中文名称,新描述
ExportJobCreateEventPayload,ExportJobCreateEventPayload generic structure,导出任务创建事件数据,导出任务创建事件所携带的具体数据内容。
ExportJobCreateEvent,,导出任务创建事件,当一个导出任务被创建时，系统发出的通知事件。
JeopardyAlert,,风险告警,当某个流程或订单（如SLA）有无法按时完成的风险时触发的告警。
ProductOfferingQualificationRef,A productOfferingQualification that has been executed previously,产品可提供性资格查询引用,用于简要引用一次产品可提供性资格查询（POQ）的结果。
ProductOfferingQualificationItemRef,,产品可提供性资格查询项引用,用于简要引用一次资格查询中的具体项目。
PartyAccount,,参与方账户,描述与参与方关联的账户信息，用于计费、结算或订单处理。
ServiceCandidateRef,,服务候选引用,用于简要引用一个可用于满足服务订单的服务候选（模板或实例）。
QuoteStateType,Possible values for the state of the quote,报价状态类型,定义了一个报价单在其生命周期中所处的各种状态。
ResourceCandidateRef,,资源候选引用,用于简要引用一个可用于满足资源订单的资源候选（模板或实例）。
ProductUsageStatusType,Possible values for the status of the Product Usage,产品使用状态类型,定义产品使用量的状态，例如是循环用量还是周期性用量。
ProductSpecificationRelationship,,产品规格关系,定义产品规格（模板）之间的关系，例如升级、降级或依赖关系。
ProductUsageSpecificationRef,"ProductUsageSpecification reference. ProductUsageSpecification is a detailed description of a usage event that are of interest to the business and can have charges applied to it. It is comprised of characteristics, which define all attributes known for a particular type of usage.",产品使用量规约引用,用于简要引用一个产品使用量规约，该规约定义了如何衡量和计费一类产品的使用。
ServiceOperatingStatusChangeEventPayload,ServiceOperatingStatusChangeEventPayload generic structure,服务运行状态变更事件数据,服务运行状态变更事件所携带的具体数据内容。
ServiceCategoryRef,,服务分类引用,用于简要引用一个服务的分类。
ProductOrderItemStateType,Possible values for the state of the product order item,产品订单项状态类型,定义了一个产品订单项在其生命周期中所处的各种状态。
ServiceOperatingStatusChangeEvent,,服务运行状态变更事件,当一个服务的运行状态发生变化时，系统发出的通知事件。
BucketCounter,,资源桶计数器,描述资源桶（流量包）中资源的具体数值，如总量、余量等。
ServiceDeleteEventPayload,ServiceDeleteEventPayload generic structure,服务删除事件数据,服务删除事件所携带的具体数据内容。
BillPresentationMediaRefOrValue,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the BillPresentationMedia entity and not the BillPresentationMediaRefOrValue class itself",账单呈现媒介引用或值,一个灵活的模型，既可以包含一个完整的账单呈现媒介信息，也可以只包含对一个已存在媒介的引用。
BillPresentationMediaRef,"PresentationMedia reference. A mean of communicating a bill, supported by the associated bill format. For example, post mail, email, web page.",账单呈现媒介引用,用于简要引用一个账单呈现媒介（如电子邮件、邮寄）。
Bucket,,资源桶 / 流量包,表示一定数量的非货币性资源余额，例如套餐内的通话分钟数或数据流量。
BillPresentationMedia,,账单呈现媒介,描述账单的呈现方式，例如纸质邮寄、电子邮件、网页查看等。
BalanceActionRef,link to the resource that holds balance-related request information,余额操作引用,用于简要引用一个与余额相关的操作请求。
LogicalResourceRef,,逻辑资源引用,用于简要引用一个逻辑资源实例（如IP地址、软件许可证）。
BillingCycleSpecificationRefOrValue,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the BillingCycleSpecification entity and not the BillingCycleSpecificationRefOrValue class itself",计费周期规约引用或值,一个灵活的模型，既可以包含一个完整的计费周期规约信息，也可以只包含对一个已存在规约的引用。
BillingCycleSpecificationRef,BillingCycleSpecification reference. A description of when to initiate a billing cycle and the various sub steps of a billing cycle.,计费周期规约引用,用于简要引用一个计费周期规约（模板）。
TestMeasureDefinition,,测试度量定义,定义一个测试度量的规则和属性。
TestMeasure,,测试度量,描述一次具体的测试度量结果。
MarketSegmentRef,"provides references to the corresponding market segment as target of product offerings. A market segment is grouping of Parties, GeographicAreas, SalesChannels, and so forth.",细分市场引用,用于简要引用一个细分市场，即产品所面向的特定客户群体、区域或渠道的组合。
BillingCycleSpecification,,计费周期规约,定义了计费周期的规则，如何时开始、周期时长以及周期内的各个阶段。
BucketStatusType,"Possible values for the bucket status are (for example active,suspended,expired)",资源桶状态类型,定义资源桶的状态，例如“活动”、“暂停”、“已用尽”。
RelatedDocumentRefOrValue,,关联文档引用或值,一个灵活的模型，既可以包含一个完整的关联文档信息，也可以只包含对一个已存在文档的引用。
ProductAgreementItem,,产品协议项,协议中与特定产品相关的条款。
BillFormatRefOrValue,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the BillFormat entity and not the BillFormatRefOrValue class itself",账单格式引用或值,一个灵活的模型，既可以包含一个完整的账单格式信息，也可以只包含对一个已存在格式的引用。
Monitor_RES,Response object for Monitor,监控响应,对监控（Monitor）请求的响应对象。
MonitorStateChangeEventPayload,MonitorStateChangeEventPayload generic structure,监控状态变更事件数据,监控状态变更事件所携带的具体数据内容。
MonitorStateChangeEvent,,监控状态变更事件,当一个监控任务的状态发生变化时，系统发出的通知事件。
RelatedPlace,,关联地点,描述与当前实体相关的地点，并定义两者间的关系。
ProductUsageRef,Product Usage reference. An occurrence of usage on a Product derived from various resource usages.,产品使用量引用,用于简要引用一条产品使用量的记录。
EventRef,,事件引用,用于简要引用一个事件。
ProductSpecification,,产品规格,产品和服务的设计蓝图或模板，定义了其通用的市场和技术特征。
BillFormatRef,BillFormat reference. A bill format is a description of the way in which a bill is presented.,账单格式引用,用于简要引用一个账单格式（模板）。
BundledGroupProductOffering,,组合包产品目录,描述产品目录中一个组的概念，用于对组合产品进行分组。
MetricDefMeasureThresholdRule,,指标度量阈值规则,定义了指标度量的阈值规则，当度量值超过阈值时可触发相应动作。
